"Provinsi","Latitude","Longitude","Harga"
"Aceh","4.695135","96.7493993",22600
"Sumatera Utara","2.1153547","99.5450974",24500
"Sumatera Barat","-0.7399397","100.8000051",23400
"Riau","0.2933469","101.7068294",20550
"Kepulauan Riau","3.9456514","108.1428669",23750
"Jambi","-1.4851831","102.4380581",20200
"Bengkulu","-3.5778471","102.3463875",22100
"Sumatera Selatan","-3.3194374","103.914399",21350
"Kepulauan Bangka Belitung","-2.7410513","106.4405872",24800
"Lampung","-4.5585849","105.4068079",21100
"Banten","-6.4058172","106.0640179",19600
"Jawa Barat","-7.090911","107.668887",19700
"DKI Jakarta","-6.211544","106.845172",19350
"Jawa Tengah","-7.150975","110.1402594",19150
"DI Yogyakarta","-7.8753849","110.4262088",19250
"Jawa Timur","-7.5360639","112.2384017",18450
"Bali","-8.4095178","115.188916",21400
"Nusa Tenggara Barat","-8.6529334","117.3616476",21450
"Nusa Tenggara Timur","-8.6573819","121.0793705",25200
"Kalimantan Barat","-0.2787808","111.4752851",24500
"Kalimantan Selatan","-3.0926415","115.2837585",21900
"Kalimantan Tengah","-1.6814878","113.3823545",25600
"Kalimantan Timur","1.6406296","116.419389",24100
"Kalimantan Utara","2.72594","116.911",27400
"Gorontalo","0.6999372","122.4467238",26900
"Sulawesi Selatan","-3.6687994","119.9740534",18950
"Sulawesi Tenggara","-4.14491","122.174605",24100
"Sulawesi Tengah","-1.4300254","121.4456179",23550
"Sulawesi Utara","0.6246932","123.9750018",23550
"Sulawesi Barat","-2.8441371","119.2320784",18350
"Maluku","-3.2384616","130.1452734",29550
"Maluku Utara","1.5709993","127.8087693",31800
"Papua","-4.269928","138.0803529",37400
"Papua Barat","-1.3361154","133.1747162",26650
