Provinsi,Latitude,Longitude,Harga.Daging.Sapi
ACEH,4.6951,96.7494,103493.9231
MEDAN,3.5952,98.6722,112250
PADANG,0.9471,100.4172,124038.4615
PEKANBARU,0.5071,101.4478,113381.4808
JAMBI,-1.6101,103.6131,121094.2308
PALEMBANG,-2.9761,104.7754,117824.8654
BENGKULU,-3.5778,102.3464,121910.3462
BANDAR LAMPUNG,-5.3971,105.2668,113833.1154
PANGKAL PINANG,-2.1316,106.1169,100173.0769
TANJUNG PINANG,-0.9186,104.4665,88519.23077
JAKARTA,-6.1745,106.8227,114285.2115
BANDUNG,-6.9175,107.6191,107628.3077
SEMARANG,-7.0051,110.4381,98784.09615
YOGYAKARTA,-7.7956,110.3695,112053.5769
SURABAYA,-7.2575,112.7521,109969.8077
SERANG,-6.1104,106.164,102039.4808
DENPASAR,-8.6705,115.2126,94403.28846
MATARAM,-8.577,116.1005,119497.1923
KUPANG,-10.1772,123.607,94439.11538
PONTIANAK,-0.0263,109.3425,117080.2115
PALANGKARAYA,-2.2161,113.914,124226.8269
BANJARMASIN,-3.3186,114.5944,130176.0962
SAMARINDA,-0.4948,117.1436,115522.3654
MANADO,1.4748,124.8421,95000
PALU,-0.9003,119.878,100000
MAKASSAR,-5.1477,119.4327,93873.80769
KENDARI,-3.9985,122.513,111816.1346
GORONTALO,0.6999,122.4467,105769.2308
MAMUJU,-2.492,119.325,111298.0769
AMBON,-3.6554,128.1908,86859.28846
TERNATE,0.771,127.3695,106282.0577
MANOKWARI,-0.8615,134.062,98205.09615
JAYAPURA,-2.5916,140.669,116557.6923
