City,Bread,Burger,Milk,Oranges,Tomatoes
Arlanta,24.50,94.50,73.90,80.10,41.60
Baltimo,26.60,91.00,67.50,74.60,53.30
Boston,29.70,100.80,61.40,104.00,59.60
Buffalo,22.80,86.60,65.30,118.40,51.20
Chicago,26.70,86.70,62.70,105.90,51.20
Cincinn,25.30,102.50,63.30,99.30,45.60
Clevela,22.80,88.80,52.40,110.90,46.80
Dallas,23.30,85.50,62.50,117.90,41.80
Detroit,24.10,93.70,51.50,109.70,52.40
Honolul,29.30,105.90,80.20,133.20,61.70
Houston,22.30,83.60,67.80,108.60,42.40
Kansas,26.10,88.90,65.40,100.90,43.20
Los Ang,26.90,89.30,56.20,82.70,38.40
Milawau,20.30,89.60,53.80,111.80,53.90
Minneap,24.60,92.20,51.90,106.00,50.70
New Yor,30.80,110.70,66.00,107.30,62.60
Philade,24.50,92.30,66.70,98.00,61.70
Pittsbu,26.20,95.40,60.20,117.10,49.30
St.Lous,26.50,92.40,60.80,115.10,46.20
San Die,25.50,83.70,57.00,92.80,35.40
San Frn,26.30,87.10,58.30,101.80,41.50
Seattle,22.50,77.70,62.00,91.10,44.90
Washint,24.20,93.80,66.00,81.60,46.20
