wilayah	longitude	latitude	nov	des	rerata	nov_1	nov_2	nov_3	nov_4	warna	circle	marker
Aceh	95.323753	5.54829	 22.700 	 25.050 	 23.875 	 22.700 	 24.400 	 25.300 	 25.000 	red	0	5
Sumatera Utara	98.678513	3.597031	 23.350 	 25.850 	 24.600 	 23.350 	 23.750 	 24.400 	 25.350 	red	0	5
Sumatra Barat	100.800005	-0.73994	 23.400 	 24.400 	 23.900 	 23.400 	 23.800 	 24.600 	 24.600 	red	0	5
Riau	101.4478	0.5071	 21.400 	 24.100 	 22.750 	 21.400 	 22.700 	 23.900 	 24.500 	red	0	5
Kepulauan Riau	104.4478	0.2726	 23.150 	 23.900 	 23.525 	 23.150 	 23.150 	 23.500 	 24.000 	red	0	5
Jambi	103.4478	-1.5071	 20.000 	 21.100 	 20.550 	 20.000 	 21.450 	 22.200 	 22.250 	red	0	5
Bengkulu	102.4608	-3.771	 22.200 	 23.100 	 22.650 	 22.200 	 22.200 	 23.100 	 23.200 	red	0	5
Sumatera Selatan	104.7754	-2.9761	 21.650 	 22.550 	 22.100 	 21.650 	 23.600 	 23.800 	 23.250 	red	0	5
Bangka Belitung	106.4405	-2.741	 24.400 	 25.200 	 24.800 	 24.400 	 24.400 	 25.200 	 25.400 	red	0	5
Lampung	105.4068	-4.5586	 21.400 	 22.200 	 21.800 	 21.400 	 23.800 	 23.900 	 23.350 	red	0	5
Banten	106.064	-6.4058	 19.500 	 21.500 	 20.500 	 19.500 	 22.350 	 24.900 	 23.500 	red	0	5
DKI Jakarta	106.8456	-6.2088	 19.400 	 22.650 	 21.025 	 19.400 	 23.750 	 25.600 	 24.750 	red	0	5
Jawa Barat	107.6689	-7.0909	 20.100 	 22.450 	 21.275 	 20.100 	 23.750 	 24.950 	 23.800 	red	0	5
Jawa Tengah	110.1403	-7.151	 19.000 	 21.600 	 20.300 	 19.000 	 22.600 	 23.150 	 22.450 	red	0	5
Yogyakarta	110.3695	-7.7956	 19.650 	 21.650 	 20.650 	 19.650 	 22.750 	 23.500 	 22.750 	red	0	5
Jawa Timur	112.2384	-7.5361	 19.100 	 21.300 	 20.200 	 19.100 	 22.650 	 23.450 	 22.150 	red	0	5
Bali	115.092	-8.3405	 20.600 	 23.200 	 21.900 	 20.600 	 21.800 	 24.150 	 23.750 	red	0	5
Nusa Tenggara Barat	117.3616	-8.6529	 21.700 	 23.750 	 22.725 	 21.700 	 22.050 	 24.200 	 24.250 	red	0	5
Nusa Tenggara Timur	121.0794	-8.6574	 24.850 	 29.800 	 27.325 	 24.850 	 25.400 	 28.050 	 29.500 	red	0	5
Kalimantan Barat	111.4753	-0.2788	 23.400 	 28.050 	 25.725 	 23.400 	 24.200 	 26.350 	 28.700 	red	0	5
Kalimantan Tengah	113.3824	-1.6815	 26.000 	 27.800 	 26.900 	 26.000 	 26.200 	 27.800 	 28.200 	red	0	5
Kalimantan Utara	116.0414	3.0731	 27.150 	 27.450 	 27.300 	 27.150 	 27.000 	 27.250 	 27.200 	red	0	5
Kalimantan Timur	116.4194	-0.5387	 23.150 	 24.500 	 23.825 	 23.150 	 23.350 	 24.200 	 24.400 	red	0	5
Kalimantan Selatan	115.2838	-3.0926	 22.550 	 24.100 	 23.325 	 22.550 	 23.850 	 25.650 	 25.400 	red	0	5
Gorontalo	122.4467	0.6999	 28.600 	 28.550 	 28.575 	 28.600 	 28.600 	 28.600 	 28.550 	red	0	5
Sulawesi Selatan	119.9741	-3.6688	 19.400 	 18.800 	 19.100 	 19.400 	 19.700 	 19.750 	 19.350 	red	0	5
Sulawesi Barat	119.2321	-2.8441	 19.050 	 19.450 	 19.250 	 19.050 	 19.300 	 19.300 	 19.000 	red	0	5
Sulawesi Utara	123.975	0.6247	 22.800 	 24.200 	 23.500 	 22.800 	 22.200 	 23.650 	 24.200 	red	0	5
Sulawesi Tengah	121.4456	-1.43002	 22.650 	 22.950 	 22.800 	 22.650 	 22.650 	 22.950 	 23.150 	red	0	5
Sulawesi Tenggara	122.1746	-3.75349	 24.100 	 23.850 	 23.975 	 24.100 	 24.550 	 24.500 	 24.500 	red	0	5
Maluku	130.1453	-3.2385	 29.200 	 30.400 	 29.800 	 29.200 	 29.200 	 29.200 	 29.400 	red	0	5
Maluku Utara	127.8087	1.57099	 31.800 	 33.600 	 32.700 	 31.800 	 31.800 	 31.000 	 31.000 	red	0	5
Papua	138.0804	-4.2699	 37.100 	 37.900 	 37.500 	 37.100 	 37.500 	 37.500 	 37.600 	red	0	5
Papua Barat	133.1747	-1.3361	 26.650 	 31.750 	 29.200 	 26.650 	 26.650 	 27.350 	 29.750 	red	0	5
