Jenis Kelamin	Masa Kerja	PL1	PL2	PL3	PL4	PL5	PD1	PD2	PD3	PD4	PD5	PD6	PD7	PG1	PG2	PG3	PG4	PS1	PS2	PS3	PK1	PK2	PK3	PK4	Lingkungan	Disiplin	Gaji	Semangat	Kinerja
Laki-Laki	< 5 Tahun	4	2	4	3	2	4	4	4	5	5	4	3	3	4	3	2	2	2	3	2	3	4	2	3	4.14	3	2.33	2.75
Perempuan	5-10 Tahun	4	3	5	5	3	5	3	2	2	2	2	4	2	2	2	1	4	3	4	2	5	4	3	4	2.86	1.75	3.67	3.5
Perempuan	< 5 Tahun	2	3	2	5	4	4	5	3	3	4	3	2	5	3	2	2	2	4	2	4	1	1	3	3.2	3.43	3	2.67	2.25
Laki-Laki	< 5 Tahun	3	2	2	2	3	3	2	2	3	2	2	3	3	3	2	3	2	3	3	2	2	2	3	2.4	2.43	2.75	2.67	2.25
Laki-Laki	5-10 Tahun	2	1	2	3	3	4	2	2	4	5	3	3	3	5	4	4	5	4	5	3	3	4	5	2.2	3.29	4	4.67	3.75
Perempuan	> 10 Tahun	3	1	3	4	4	1	3	3	4	5	4	2	4	4	5	4	5	3	5	4	4	5	4	3	3.14	4.25	4.33	4.25
Perempuan	> 10 Tahun	4	2	4	1	1	2	4	4	2	2	5	4	1	3	2	2	5	4	2	2	4	5	3	2.4	3.29	2	3.67	3.5
Perempuan	5-10 Tahun	5	3	2	2	2	4	4	5	3	4	5	5	2	2	2	2	2	1	3	3	4	5	4	2.8	4.29	2	2	4
Laki-Laki	5-10 Tahun	4	5	3	3	4	2	2	2	3	2	3	2	2	1	1	2	4	2	4	4	2	2	1	3.8	2.29	1.5	3.33	2.25
Laki-Laki	5-10 Tahun	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Laki-Laki	> 10 Tahun	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Perempuan	5-10 Tahun	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
